"ensemble_forecast_posterior_2017","ensemble_forecast_posterior_2019","ensemble_forecast_posterior_2020","ensemble_forecast_posterior_2022","ensemble_forecast_posterior_2023"
8676.91544446161,5622.00156547766,4336.61927752363,5314.69495098056,2699.0831101156
7204.72570781755,6775.95667165454,5021.70260477498,4733.52331518505,2702.29929892985
7110.50694036235,5970.77781495209,5467.28556783935,4861.1247747173,2706.98805831391
9357.38882421539,7663.14619887178,4427.10651788777,4702.70154426533,2709.90549272936
7952.10936266618,7106.85544804209,5298.78209270835,4291.08088469931,2713.65207773075
7858.46885527247,6908.91347071767,5036.25687046912,3373.77345465078,2716.37477501608
8056.07292882437,6134.67770259924,6535.43488448605,4078.35933053686,2722.74039126243
8247.09967202309,5647.40789950363,5434.22992111565,4056.32523732317,2726.56947311326
9989.75437544449,7795.47589487147,5168.23993361105,3890.70006868859,2729.31009545708
13282.8650767157,9066.72026273157,6455.172592024,4017.16828542789,2733.01431549115
8834.67260014879,6332.69207995577,4425.53062810164,4405.13031909361,2736.02620807769
8921.48817269808,10194.1312580954,4306.51580247521,4028.39753376453,2745.0389022663
6626.46743894006,9437.11113047741,4548.42917756569,5076.22967020361,2751.08135452443
9225.49540377442,5904.432034464,4369.03086537485,4358.75653183023,2754.09966406953
8099.92696376044,7199.3733084571,5163.52790784514,3721.92159401216,2761.34773518848
10222.7651310011,9193.4139459744,5331.23013776416,3213.56849795907,2765.69500149166
9118.19224333668,6958.1320392708,5912.98991700823,4128.98127244122,2772.26755494114
8471.64367005781,7650.03756502008,6586.15705760006,3489.59641320685,2774.98463279876
7107.68330114335,6114.43551963597,5913.37894334069,4261.7331604567,2776.32471410986
9615.67684992498,4749.16133206507,5485.24651454234,6966.80592380517,2777.8454102015
7294.56132952257,6660.20108372353,4927.6457265394,3966.19435899483,2781.25726575069
7848.36898362246,6866.31049958023,5437.43287387379,4368.7990868636,2785.11331711175
8272.44127239058,5405.10253158552,5337.59480527113,4314.15904754981,2788.25177473446
8308.84685234372,6329.65371953041,6974.6456753912,5444.1995681535,2790.22767791867
6307.14311860189,6642.41758509305,6256.29173463479,4162.1241248781,2795.1758288515
9644.09888340906,8320.93338464219,4939.8827171482,4525.42478684095,2801.78631438451
9329.2110921349,9312.17356942391,6287.24520663793,3524.20750515255,2804.36163849337
9500.08553102238,7792.36394692103,5345.56761071758,3746.6522118047,2811.95928414483
9033.9630485707,6125.70364573657,7284.03218579248,3646.5126324824,2814.29721499729
11017.3727920986,7525.31949204288,6245.58080609802,4933.39602216167,2817.53143849899
8243.36192875312,7155.28513053313,4142.68696108097,3002.95702175055,2819.71645559702
9776.88993779882,8067.81842456134,5099.02537900716,3659.5461517813,2823.35717166423
9097.1203453076,6077.20069223992,5196.54099597883,4725.25895063762,2825.16548263714
8389.84428354595,5721.88097686593,5315.76841065336,3919.0407329338,2826.12137257913
9037.44604168292,6883.31072287685,6686.1902643576,2920.52064740295,2828.72335320141
7033.93842781975,6624.26804639588,6880.66846692346,4612.35299038296,2833.79168176954
8185.59269600987,6961.76162112938,5528.70017076196,4162.11756528285,2837.41035615597
8927.08388683569,5203.84014551792,4411.78387854192,3455.97145725495,2840.78535574455
6861.45043420934,5055.52469103613,6372.502323499,4997.40662575478,2845.22418744205
7557.08949928571,8545.21780936055,4785.32486541677,3448.83659626012,2847.47884542172
9606.02786613813,7104.02212029545,4637.76049047013,5202.18748644209,2849.95736727567
8001.15997450558,6600.89044777869,5440.1497083345,3241.19494176078,2852.25498026495
7708.24272388394,8792.08711165124,5664.29271447657,3901.25184114169,2853.81392342964
8970.31509412767,5397.62334630036,5559.54286580618,3333.44309908526,2856.83231103662
7747.786644641,8117.5491710719,5234.99535983515,3482.52229004441,2863.43298855913
7523.9657166311,6618.19666137797,5760.36132389446,4049.39053718032,2866.07739135996
9089.35127877774,7075.0751820319,6525.32028382803,3811.26551862396,2868.22429038243
8763.14839499185,6588.02551537819,6615.53806882276,4884.97845858654,2869.78587988947
7882.78217595111,6780.02417660291,5973.76325726839,3300.11184093906,2873.89873371004
10730.9738215834,5343.32706716195,6474.30418655058,3300.512336878,2880.41448957845
7941.45514041094,7870.27211919705,5283.90028358058,4450.74472206573,2881.89052468951
8204.28196602034,6101.45041919078,5846.44976063271,4868.26448156265,2885.91803392141
10652.6123700327,7099.76096554114,6543.77588681351,3532.57655389924,2889.81328940183
8443.41573178419,6493.79009336031,6375.67531673066,5225.4695582673,2895.13402622711
8919.72192083915,9814.25558922772,4406.61486040922,4152.87635502735,2897.89702356181
8929.99451564883,6472.3678455557,5505.62884710788,4996.96869995436,2900.61146125128
8153.98788246627,6712.35969774767,5692.02683148385,3695.47258694509,2906.64576395244
9729.22863537013,6659.97927999642,6460.56462235502,3187.14564485881,2909.27122348561
9734.56887896138,6962.76337121172,4642.48981484865,5885.48620726736,2914.91261530119
8880.03181686221,6484.49479871416,4735.52229944879,3535.18936751464,2919.76637051637
7193.82120733549,6050.50330780968,4435.92431429021,4618.81486271935,2922.54981231265
