"","rhat","neff","mean","sd","X2.5.","X25.","X50.","X75.","X97.5."
"Sp[41]",0.999945305730285,4657.52861407086,5377.06643642902,917.181647706228,3614.73553433474,4754.44782108305,5399.66853439136,5986.19723365224,7181.81869896271
"Sp[42]",1.00064553586022,4789.09410827114,4224.69098813239,741.774317210414,2906.06081620057,3749.26468682916,4181.8665039711,4641.18280035593,5898.9069824682
"Sp[43]",1.00045387358558,4686.53327159595,3671.83994528997,778.69598009312,2568.4886687578,3134.19882328933,3517.9479134443,4068.25601814356,5601.83835095642
"Sp[44]",0.99988827770715,5000,2383.71444132899,1680.21305656401,99.064592573922,1071.03342271476,2151.27857743505,3434.31042201811,6139.17174815971
"alpha",1.01806881302343,158.177362864636,10.0779041965742,11.6224990223722,1.27968449101107,2.57225600428251,5.30020696872413,12.4464471433893,43.7362620160133
"beta",1.01859614188264,163.091162837095,0.00138452278545079,0.00186812349598073,3.88602974521685e-05,0.000219907938959335,0.000626769223379488,0.00174565648534456,0.00660757612095947
"gamma[1]",0.999319610323152,4966.18768335107,-0.0962399275530672,0.0540284593570581,-0.205342333876369,-0.130887714187924,-0.0954711862524604,-0.0612001927707631,0.0103231807193634
"gamma[2]",1.00172472514882,2225.59632893231,0.0107670812813376,0.0605058656013132,-0.111466530541712,-0.0286869296441974,0.0102550678498786,0.0508793494777443,0.127632101877499
"gamma[3]",1.00029586357092,5000,0.184854254324619,0.0919017385134951,0.00455243410393453,0.123460297708402,0.185356846594762,0.245451663006258,0.362393412316608
"ln_BH_a[1]",1.0218326346408,155.852255697519,1.77703678172472,1.0075508777106,0.220225911998083,0.94089260342318,1.6672771683287,2.52904759910927,3.79441265359444
"ln_BH_a[2]",1.02174100758835,155.179740712326,1.64140542643146,1.00530901320914,0.102392397694238,0.80555500110397,1.51747971194378,2.37585068591276,3.63184326832026
"ln_BH_a[3]",1.0217603415973,155.452153066082,1.55311167053851,1.01106765267788,-0.00275917675530326,0.725304349502751,1.42932982395136,2.28621659791898,3.55105064688886
"ln_BH_a[4]",1.02227644698365,156.007949932386,1.84410705884315,1.03467411779836,0.258407067888267,0.991214399798557,1.73371597588736,2.61102716341191,3.89667314666005
"ln_BH_a[5]",1.02209397569116,156.61826126603,1.92782417270513,1.03217895384783,0.339230174552177,1.07254634915853,1.82164375772082,2.68636820298447,3.97676600958179
"ln_BH_a[6]",1.02198332761995,154.587350720463,1.67570331832084,1.00854952670398,0.13559335676074,0.838184609172404,1.55537626515485,2.42014253188743,3.67049712874734
"ln_BH_a[7]",1.0217529544749,156.122725533785,1.78801226769332,1.00592135186259,0.232399021448534,0.950922750073231,1.6776374741203,2.54008587681195,3.81364140785224
"ln_BH_a[8]",1.02145078557651,156.102690448123,1.86253741235824,0.99323856921731,0.33819011892427,1.03830836691069,1.74270233637365,2.58878327411114,3.85003434125888
"ln_BH_a[9]",1.02133592329573,157.242597262533,2.00941968347064,0.998388334680957,0.466376659674814,1.18158332853109,1.89521719242495,2.74417584734268,4.02068989570582
"ln_BH_a[10]",1.02195337789873,156.28117177359,2.00200610747532,1.01661388362977,0.440114102060561,1.15037426871422,1.89951547397176,2.74778919652338,4.02110562940545
